Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,MedianDaysBetweenOrders,AvgOrderValue,Churn
2828,1,482.19,1,1,4,6,727.5,482.19,1
603,2,183.7,3,3,3,9,1348.0,91.85,1
1102,2,191.06,3,3,3,9,1138.0,95.53,1
1505,3,724.41,2,4,4,10,504.0,241.47,1
1812,1,88.15,2,1,2,5,727.5,88.15,1
1240,1,31.35,2,1,1,4,727.5,31.35,1
1289,2,180.53,2,3,3,8,288.0,90.265,1
197,2,294.22,4,3,3,10,2228.0,147.11,1
746,2,184.51999999999998,3,3,3,9,438.0,92.25999999999999,1
2247,1,387.64,1,1,4,6,727.5,387.64,1
680,2,608.86,3,3,4,10,1776.0,304.43,1
2318,1,124.15,1,1,2,4,727.5,124.15,1
2449,1,294.15,1,1,3,5,727.5,294.15,1
2100,1,70.94,1,1,1,3,727.5,70.94,1
28,4,336.21000000000004,4,4,4,12,879.0,84.05250000000001,0
2134,1,35.41,1,1,1,3,727.5,35.41,1
1931,1,101.91,1,1,2,4,727.5,101.91,1
1289,2,102.37,2,3,2,7,85.0,51.185,1
1707,1,327.18,2,1,4,7,727.5,327.18,1
2811,1,62.88,1,1,1,3,727.5,62.88,1
641,2,460.84000000000003,3,3,4,10,1763.0,230.42000000000002,1
1512,2,264.64,2,3,3,8,1169.0,132.32,1
619,1,156.7,3,1,2,6,727.5,156.7,1
227,2,411.90999999999997,4,3,4,11,694.0,205.95499999999998,1
1609,1,47.98,2,1,1,4,727.5,47.98,1
142,1,46.76,4,1,1,6,727.5,46.76,0
414,1,155.34,4,1,2,7,727.5,155.34,1
1321,1,46.93,2,1,1,4,727.5,46.93,1
1193,2,199.18,3,3,3,9,398.0,99.59,1
2689,1,39.74,1,1,1,3,727.5,39.74,1
1219,1,327.36,3,1,4,8,727.5,327.36,1
366,1,51.85,4,1,1,6,727.5,51.85,1
252,2,206.23000000000002,4,3,3,10,810.0,103.11500000000001,1
380,1,440.47,4,1,4,9,727.5,440.47,1
2174,1,243.6,1,1,3,5,727.5,243.6,1
1009,1,28.44,3,1,1,5,727.5,28.44,1
1764,1,45.59,2,1,1,4,727.5,45.59,1
1641,1,105.08,2,1,2,5,727.5,105.08,1
100,2,77.38,4,3,1,8,671.0,38.69,0
2620,1,85.12,1,1,2,4,727.5,85.12,1
398,1,168.4,4,1,2,7,727.5,168.4,1
1448,1,163.46,2,1,2,5,727.5,163.46,1
2535,1,98.86,1,1,2,4,727.5,98.86,1
511,2,337.51,4,3,4,11,1051.0,168.755,1
2073,2,195.83999999999997,1,3,3,7,558.0,97.91999999999999,1
121,1,50.07,4,1,1,6,727.5,50.07,0
260,2,118.25999999999999,4,3,2,9,1403.0,59.129999999999995,1
1191,1,108.13,3,1,2,6,727.5,108.13,1
2369,1,115.08,1,1,2,4,727.5,115.08,1
2734,1,79.76,1,1,1,3,727.5,79.76,1
278,3,537.94,4,4,4,12,1019.0,179.31333333333336,1
1982,2,210.83999999999997,1,3,3,7,445.0,105.41999999999999,1
1693,1,127.99,2,1,2,5,727.5,127.99,1
35,1,70.06,4,1,1,6,727.5,70.06,0
327,2,235.73000000000002,4,3,3,10,1273.0,117.86500000000001,1
2705,1,94.77,1,1,2,4,727.5,94.77,1
1615,2,118.03,2,3,2,7,802.0,59.015,1
258,1,512.93,4,1,4,9,727.5,512.93,1
2620,1,128.08,1,1,2,4,727.5,128.08,1
1682,1,204.0,2,1,3,6,727.5,204.0,1
507,1,84.04,4,1,1,6,727.5,84.04,1
2051,1,43.61,1,1,1,3,727.5,43.61,1
1128,1,87.81,3,1,2,6,727.5,87.81,1
1891,1,97.59,1,1,2,4,727.5,97.59,1
1804,1,43.52,2,1,1,4,727.5,43.52,1
171,4,381.54,4,4,4,12,722.0,95.385,0
2250,1,457.29,1,1,4,6,727.5,457.29,1
2592,1,75.54,1,1,1,3,727.5,75.54,1
1878,1,354.52,1,1,4,6,727.5,354.52,1
1005,1,50.8,3,1,1,5,727.5,50.8,1
1728,1,53.8,2,1,1,4,727.5,53.8,1
1099,2,181.63,3,3,3,9,821.0,90.815,1
57,3,272.29,4,4,3,11,1151.0,90.76333333333334,0
465,3,967.05,4,4,4,12,927.0,322.34999999999997,1
128,1,108.35,4,1,2,7,727.5,108.35,0
1520,2,308.08,2,3,4,9,86.0,154.04,1
821,1,83.64,3,1,1,5,727.5,83.64,1
887,1,21.21,3,1,1,5,727.5,21.21,1
301,2,636.12,4,3,4,11,1889.0,318.06,1
1151,2,130.41,3,3,2,8,1496.0,65.205,1
2351,1,52.6,1,1,1,3,727.5,52.6,1
575,1,31.91,3,1,1,5,727.5,31.91,1
399,1,95.69,4,1,2,7,727.5,95.69,1
525,1,169.09,4,1,3,8,727.5,169.09,1
1538,1,44.54,2,1,1,4,727.5,44.54,1
1782,1,33.64,2,1,1,4,727.5,33.64,1
195,1,217.93,4,1,3,8,727.5,217.93,1
702,2,233.70999999999998,3,3,3,9,612.0,116.85499999999999,1
1330,1,42.88,2,1,1,4,727.5,42.88,1
49,2,390.15,4,3,4,11,2661.0,195.075,0
194,1,95.87,4,1,2,7,727.5,95.87,1
858,1,321.67,3,1,4,8,727.5,321.67,1
571,2,589.96,3,3,4,10,1531.0,294.98,1
2418,1,37.12,1,1,1,3,727.5,37.12,1
2262,1,94.13,1,1,2,4,727.5,94.13,1
797,1,31.78,3,1,1,5,727.5,31.78,1
1528,1,861.15,2,1,4,7,727.5,861.15,1
1700,4,230.89999999999998,2,4,3,9,203.0,57.724999999999994,1
779,1,13.44,3,1,1,5,727.5,13.44,1
2126,2,234.85999999999999,1,3,3,7,288.0,117.42999999999999,1
593,1,259.36,3,1,3,7,727.5,259.36,1
1162,1,49.84,3,1,1,5,727.5,49.84,1
416,1,189.41,4,1,3,8,727.5,189.41,1
100,1,93.19,4,1,2,7,727.5,93.19,0
2549,1,149.63,1,1,2,4,727.5,149.63,1
1763,1,54.2,2,1,1,4,727.5,54.2,1
1237,1,34.01,3,1,1,5,727.5,34.01,1
740,1,53.98,3,1,1,5,727.5,53.98,1
1633,1,63.17,2,1,1,4,727.5,63.17,1
1178,2,169.25,3,3,3,9,313.0,84.625,1
436,2,510.76,4,3,4,11,2070.0,255.38,1
1536,1,56.42,2,1,1,4,727.5,56.42,1
553,2,151.97,4,3,2,9,1698.0,75.985,1
1002,2,325.09999999999997,3,3,4,10,1277.0,162.54999999999998,1
1610,2,115.61,2,3,2,7,117.0,57.805,1
2161,1,112.2,1,1,2,4,727.5,112.2,1
71,1,83.72,4,1,1,6,727.5,83.72,0
1849,1,96.28,1,1,2,4,727.5,96.28,1
1442,1,63.59,2,1,1,4,727.5,63.59,1
974,1,15.94,3,1,1,5,727.5,15.94,1
1866,1,247.9,1,1,3,5,727.5,247.9,1
2807,1,146.07,1,1,2,4,727.5,146.07,1
1691,1,339.12,2,1,4,7,727.5,339.12,1
97,1,58.31,4,1,1,6,727.5,58.31,0
809,2,247.11,3,3,3,9,1593.0,123.555,1
1907,1,508.33,1,1,4,6,727.5,508.33,1
1084,1,360.93,3,1,4,8,727.5,360.93,1
2500,2,248.95,1,3,3,7,75.0,124.475,1
595,2,114.38999999999999,3,3,2,8,999.0,57.19499999999999,1
220,1,35.2,4,1,1,6,727.5,35.2,1
724,2,573.97,3,3,4,10,1024.0,286.985,1
1626,1,201.3,2,1,3,6,727.5,201.3,1
501,3,341.44,4,4,4,12,984.0,113.81333333333333,1
563,1,45.16,4,1,1,6,727.5,45.16,1
1878,1,88.35,1,1,2,4,727.5,88.35,1
1141,1,156.99,3,1,2,6,727.5,156.99,1
566,1,246.6,4,1,3,8,727.5,246.6,1
962,1,64.06,3,1,1,5,727.5,64.06,1
2143,1,33.24,1,1,1,3,727.5,33.24,1
452,1,67.78,4,1,1,6,727.5,67.78,1
603,1,93.76,3,1,2,6,727.5,93.76,1
1214,1,62.88,3,1,1,5,727.5,62.88,1
1363,2,376.33000000000004,2,3,4,9,999.0,188.16500000000002,1
693,1,69.52,3,1,1,5,727.5,69.52,1
1247,1,50.49,2,1,1,4,727.5,50.49,1
284,2,281.78,4,3,3,10,2008.0,140.89,1
1571,2,177.54000000000002,2,3,3,8,773.0,88.77000000000001,1
579,4,635.32,3,4,4,11,599.0,158.83,1
1003,1,80.51,3,1,1,5,727.5,80.51,1
2093,1,259.42,1,1,3,5,727.5,259.42,1
106,2,316.63,4,3,4,11,1786.0,158.315,0
1995,1,406.69,1,1,4,6,727.5,406.69,1
1350,1,90.05,2,1,2,5,727.5,90.05,1
1113,1,382.28,3,1,4,8,727.5,382.28,1
653,1,74.88,3,1,1,5,727.5,74.88,1
771,1,89.59,3,1,2,6,727.5,89.59,1
1496,2,284.13,2,3,3,8,345.0,142.065,1
1631,1,68.85,2,1,1,4,727.5,68.85,1
860,2,300.12,3,3,3,9,1096.0,150.06,1
1659,1,155.73,2,1,2,5,727.5,155.73,1
2823,1,630.46,1,1,4,6,727.5,630.46,1
675,1,34.83,3,1,1,5,727.5,34.83,1
1134,1,66.21,3,1,1,5,727.5,66.21,1
490,1,171.94,4,1,3,8,727.5,171.94,1
1838,2,97.48,1,3,2,6,398.0,48.74,1
887,3,510.15999999999997,3,4,4,11,481.0,170.0533333333333,1
1712,1,209.31,2,1,3,6,727.5,209.31,1
1670,2,167.07999999999998,2,3,2,7,1047.0,83.53999999999999,1
229,1,26.94,4,1,1,6,727.5,26.94,1
2731,1,195.72,1,1,3,5,727.5,195.72,1
367,1,79.81,4,1,1,6,727.5,79.81,1
1209,1,311.4,3,1,4,8,727.5,311.4,1
80,1,52.59,4,1,1,6,727.5,52.59,0
60,1,41.88,4,1,1,6,727.5,41.88,0
469,1,32.29,4,1,1,6,727.5,32.29,1
1243,1,153.0,2,1,2,5,727.5,153.0,1
200,2,134.82,4,3,2,9,1591.0,67.41,1
2304,1,103.28,1,1,2,4,727.5,103.28,1
844,1,97.12,3,1,2,6,727.5,97.12,1
2556,1,196.12,1,1,3,5,727.5,196.12,1
963,1,68.03,3,1,1,5,727.5,68.03,1
1574,2,337.28,2,3,4,9,33.0,168.64,1
55,1,151.6,4,1,2,7,727.5,151.6,0
1665,1,45.26,2,1,1,4,727.5,45.26,1
1638,1,89.9,2,1,2,5,727.5,89.9,1
1876,1,105.71,1,1,2,4,727.5,105.71,1
1482,2,142.25,2,3,2,7,0.0,71.125,1
972,1,130.81,3,1,2,6,727.5,130.81,1
299,1,44.4,4,1,1,6,727.5,44.4,1
1654,1,282.65,2,1,3,6,727.5,282.65,1
1186,2,537.0999999999999,3,3,4,10,849.0,268.54999999999995,1
1836,1,57.44,1,1,1,3,727.5,57.44,1
1659,1,145.27,2,1,2,5,727.5,145.27,1
994,2,310.09,3,3,4,10,540.0,155.045,1
2668,1,51.76,1,1,1,3,727.5,51.76,1
2603,1,65.76,1,1,1,3,727.5,65.76,1
1712,3,437.69,2,4,4,10,277.0,145.89666666666668,1
826,1,73.46,3,1,1,5,727.5,73.46,1
2676,1,79.55,1,1,1,3,727.5,79.55,1
834,1,236.7,3,1,3,7,727.5,236.7,1
1478,1,223.08,2,1,3,6,727.5,223.08,1
1704,2,190.70999999999998,2,3,3,8,641.0,95.35499999999999,1
1066,2,136.76,3,3,2,8,1028.0,68.38,1
1702,3,604.7,2,4,4,10,423.0,201.5666666666667,1
489,1,39.39,4,1,1,6,727.5,39.39,1
308,2,288.1,4,3,3,10,70.0,144.05,1
1789,1,53.46,2,1,1,4,727.5,53.46,1
1931,2,188.67999999999998,1,3,3,7,600.0,94.33999999999999,1
1848,1,174.95,1,1,3,5,727.5,174.95,1
2640,1,43.2,1,1,1,3,727.5,43.2,1
257,1,358.82,4,1,4,9,727.5,358.82,1
1043,1,162.41,3,1,2,6,727.5,162.41,1
1337,1,299.02,2,1,3,6,727.5,299.02,1
2429,1,258.42,1,1,3,5,727.5,258.42,1
1878,1,249.2,1,1,3,5,727.5,249.2,1
525,1,113.84,4,1,2,7,727.5,113.84,1
236,3,211.05,4,4,3,11,924.0,70.35000000000001,1
1588,1,400.71,2,1,4,7,727.5,400.71,1
2712,1,113.75,1,1,2,4,727.5,113.75,1
2652,1,32.42,1,1,1,3,727.5,32.42,1
745,3,284.36,3,4,3,10,366.0,94.78666666666668,1
1416,1,29.48,2,1,1,4,727.5,29.48,1
2679,1,148.51,1,1,2,4,727.5,148.51,1
288,2,125.08000000000001,4,3,2,9,43.0,62.540000000000006,1
2535,1,137.58,1,1,2,4,727.5,137.58,1
1571,1,86.02,2,1,2,5,727.5,86.02,1
1840,1,195.59,1,1,3,5,727.5,195.59,1
598,1,55.22,3,1,1,5,727.5,55.22,1
747,1,57.76,3,1,1,5,727.5,57.76,1
805,1,53.5,3,1,1,5,727.5,53.5,1
1325,1,321.22,2,1,4,7,727.5,321.22,1
2634,1,54.2,1,1,1,3,727.5,54.2,1
31,2,202.38,4,3,3,10,831.0,101.19,0
1746,1,35.7,2,1,1,4,727.5,35.7,1
1734,2,129.53,2,3,2,7,106.0,64.765,1
1568,1,53.28,2,1,1,4,727.5,53.28,1
854,1,87.44,3,1,2,6,727.5,87.44,1
1055,1,323.44,3,1,4,8,727.5,323.44,1
525,2,341.67,4,3,4,11,326.0,170.835,1
1834,1,79.81,1,1,1,3,727.5,79.81,1
416,2,107.21000000000001,4,3,2,9,1892.0,53.605000000000004,1
660,1,150.98,3,1,2,6,727.5,150.98,1
624,3,1169.59,3,4,4,11,511.0,389.8633333333333,1
1939,2,392.38,1,3,4,8,732.0,196.19,1
1654,2,126.12,2,3,2,7,1139.0,63.06,1
1218,1,158.63,3,1,2,6,727.5,158.63,1
73,2,296.24,4,3,3,10,2337.0,148.12,0
183,1,174.01,4,1,3,8,727.5,174.01,1
1220,2,338.08000000000004,3,3,4,10,1523.0,169.04000000000002,1
2378,2,515.75,1,3,4,8,141.0,257.875,1
1712,1,81.05,2,1,1,4,727.5,81.05,1
1651,1,35.34,2,1,1,4,727.5,35.34,1
945,2,236.16,3,3,3,9,684.0,118.08,1
1212,1,110.56,3,1,2,6,727.5,110.56,1
181,1,47.92,4,1,1,6,727.5,47.92,1
912,2,344.64,3,3,4,10,179.0,172.32,1
2489,1,39.95,1,1,1,3,727.5,39.95,1
1752,2,140.85999999999999,2,3,2,7,523.0,70.42999999999999,1
512,1,35.64,4,1,1,6,727.5,35.64,1
219,2,476.46000000000004,4,3,4,11,1905.0,238.23000000000002,1
1457,2,188.99,2,3,3,8,1287.0,94.495,1
1877,1,32.21,1,1,1,3,727.5,32.21,1
1197,1,143.49,3,1,2,6,727.5,143.49,1
910,1,533.85,3,1,4,8,727.5,533.85,1
688,1,24.87,3,1,1,5,727.5,24.87,1
2615,1,159.33,1,1,2,4,727.5,159.33,1
78,2,329.88,4,3,4,11,1843.0,164.94,0
1039,3,321.3,3,4,4,11,760.0,107.10000000000001,1
1231,3,512.37,3,4,4,11,790.0,170.79,1
1390,2,842.26,2,3,4,9,210.0,421.13,1
2489,1,196.69,1,1,3,5,727.5,196.69,1
334,2,401.45,4,3,4,11,785.0,200.725,1
313,3,649.8100000000001,4,4,4,12,676.0,216.60333333333335,1
2600,1,306.75,1,1,4,6,727.5,306.75,1
509,1,144.53,4,1,2,7,727.5,144.53,1
2342,1,65.62,1,1,1,3,727.5,65.62,1
307,2,227.06,4,3,3,10,1410.0,113.53,1
1021,1,161.38,3,1,2,6,727.5,161.38,1
2198,1,151.89,1,1,2,4,727.5,151.89,1
91,3,172.45,4,4,3,11,1132.0,57.48333333333333,0
1809,1,140.07,2,1,2,5,727.5,140.07,1
154,1,273.74,4,1,3,8,727.5,273.74,0
746,2,183.89999999999998,3,3,3,9,1010.0,91.94999999999999,1
1173,1,231.1,3,1,3,7,727.5,231.1,1
175,1,18.29,4,1,1,6,727.5,18.29,0
176,1,98.66,4,1,2,7,727.5,98.66,0
1932,2,515.37,1,3,4,8,777.0,257.685,1
502,1,26.63,4,1,1,6,727.5,26.63,1
61,1,225.86,4,1,3,8,727.5,225.86,0
2243,1,15.42,1,1,1,3,727.5,15.42,1
1755,1,94.37,2,1,2,5,727.5,94.37,1
1728,2,263.43,2,3,3,8,580.0,131.715,1
1431,1,242.6,2,1,3,6,727.5,242.6,1
1668,2,287.93,2,3,3,8,828.0,143.965,1
266,1,141.84,4,1,2,7,727.5,141.84,1
2186,2,127.35,1,3,2,6,562.0,63.675,1
1274,1,122.35,2,1,2,5,727.5,122.35,1
2530,1,70.08,1,1,1,3,727.5,70.08,1
2396,1,32.51,1,1,1,3,727.5,32.51,1
974,1,86.4,3,1,2,6,727.5,86.4,1
2495,1,192.89,1,1,3,5,727.5,192.89,1
854,2,356.12,3,3,4,10,1187.0,178.06,1
1597,2,335.59000000000003,2,3,4,9,39.0,167.79500000000002,1
728,3,624.76,3,4,4,11,508.0,208.25333333333333,1
936,1,136.01,3,1,2,6,727.5,136.01,1
743,3,435.86,3,4,4,11,339.0,145.28666666666666,1
1406,1,138.56,2,1,2,5,727.5,138.56,1
1295,2,505.93,2,3,4,9,495.0,252.965,1
1817,1,39.52,2,1,1,4,727.5,39.52,1
1685,3,802.6199999999999,2,4,4,10,571.0,267.53999999999996,1
2753,1,79.61,1,1,1,3,727.5,79.61,1
355,1,88.98,4,1,2,7,727.5,88.98,1
2272,1,38.73,1,1,1,3,727.5,38.73,1
552,2,399.61,4,3,4,11,1050.0,199.805,1
2702,1,430.13,1,1,4,6,727.5,430.13,1
2570,1,53.17,1,1,1,3,727.5,53.17,1
2625,1,75.04,1,1,1,3,727.5,75.04,1
1127,3,509.20000000000005,3,4,4,11,714.0,169.73333333333335,1
1985,1,128.87,1,1,2,4,727.5,128.87,1
1642,1,68.78,2,1,1,4,727.5,68.78,1
481,1,99.75,4,1,2,7,727.5,99.75,1
2576,1,32.85,1,1,1,3,727.5,32.85,1
1206,1,203.97,3,1,3,7,727.5,203.97,1
832,1,40.89,3,1,1,5,727.5,40.89,1
608,3,523.13,3,4,4,11,910.0,174.37666666666667,1
569,1,409.3,3,1,4,8,727.5,409.3,1
392,1,470.37,4,1,4,9,727.5,470.37,1
699,1,108.36,3,1,2,6,727.5,108.36,1
58,3,587.74,4,4,4,12,843.0,195.91333333333333,0
1049,3,517.76,3,4,4,11,357.0,172.58666666666667,1
2818,1,36.06,1,1,1,3,727.5,36.06,1
1799,1,102.77,2,1,2,5,727.5,102.77,1
1108,1,60.17,3,1,1,5,727.5,60.17,1
1375,1,19.04,2,1,1,4,727.5,19.04,1
283,2,422.84999999999997,4,3,4,11,1482.0,211.42499999999998,1
290,2,248.82,4,3,3,10,262.0,124.41,1
1404,1,113.32,2,1,2,5,727.5,113.32,1
2147,1,39.09,1,1,1,3,727.5,39.09,1
1283,2,91.92999999999999,2,3,2,7,104.0,45.964999999999996,1
233,2,126.96000000000001,4,3,2,9,1803.0,63.480000000000004,1
1812,2,148.89999999999998,2,3,2,7,812.0,74.44999999999999,1
583,2,202.37,3,3,3,9,212.0,101.185,1
675,1,137.33,3,1,2,6,727.5,137.33,1
2200,1,59.04,1,1,1,3,727.5,59.04,1
1172,1,88.14,3,1,2,6,727.5,88.14,1
642,2,445.02,3,3,4,10,500.0,222.51,1
1934,2,290.68,1,3,3,7,388.0,145.34,1
1084,2,235.56,3,3,3,9,1441.0,117.78,1
145,2,457.02,4,3,4,11,1060.0,228.51,0
2510,1,236.29,1,1,3,5,727.5,236.29,1
1706,1,192.5,2,1,3,6,727.5,192.5,1
231,2,827.3199999999999,4,3,4,11,1369.0,413.65999999999997,1
2241,1,120.67,1,1,2,4,727.5,120.67,1
176,2,176.02,4,3,3,10,2640.0,88.01,0
2773,1,90.71,1,1,2,4,727.5,90.71,1
1606,1,193.36,2,1,3,6,727.5,193.36,1
709,2,491.02,3,3,4,10,1404.0,245.51,1
1285,2,63.48,2,3,1,6,290.0,31.74,1
1232,2,353.8,3,3,4,10,511.0,176.9,1
887,1,37.03,3,1,1,5,727.5,37.03,1
305,1,49.22,4,1,1,6,727.5,49.22,1
318,2,286.17,4,3,3,10,757.0,143.085,1
632,1,169.37,3,1,3,7,727.5,169.37,1
470,1,201.42,4,1,3,8,727.5,201.42,1
710,2,545.51,3,3,4,10,122.0,272.755,1
1228,2,152.72,3,3,2,8,503.0,76.36,1
1480,1,150.91,2,1,2,5,727.5,150.91,1
790,2,260.06,3,3,3,9,1615.0,130.03,1
407,2,424.10999999999996,4,3,4,11,1047.0,212.05499999999998,1
2048,1,181.68,1,1,3,5,727.5,181.68,1
2431,1,72.3,1,1,1,3,727.5,72.3,1
1663,1,89.73,2,1,2,5,727.5,89.73,1
2317,1,70.47,1,1,1,3,727.5,70.47,1
104,4,295.92,4,4,3,11,289.0,73.98,0
1207,2,752.65,3,3,4,10,1129.0,376.325,1
392,2,179.11,4,3,3,10,1077.0,89.555,1
1534,1,54.18,2,1,1,4,727.5,54.18,1
172,1,21.87,4,1,1,6,727.5,21.87,0
546,1,68.72,4,1,1,6,727.5,68.72,1
342,2,378.47999999999996,4,3,4,11,1398.0,189.23999999999998,1
1580,1,134.52,2,1,2,5,727.5,134.52,1
1814,1,47.25,2,1,1,4,727.5,47.25,1
2566,1,37.23,1,1,1,3,727.5,37.23,1
769,2,173.72,3,3,3,9,873.0,86.86,1
2597,1,248.16,1,1,3,5,727.5,248.16,1
699,2,217.64000000000001,3,3,3,9,1746.0,108.82000000000001,1
890,2,420.5,3,3,4,10,1596.0,210.25,1
379,2,290.16999999999996,4,3,3,10,498.0,145.08499999999998,1
400,1,124.21,4,1,2,7,727.5,124.21,1
1454,2,330.46000000000004,2,3,4,9,928.0,165.23000000000002,1
2416,1,325.74,1,1,4,6,727.5,325.74,1
2318,1,37.76,1,1,1,3,727.5,37.76,1
893,2,203.33,3,3,3,9,939.0,101.665,1
2424,1,43.16,1,1,1,3,727.5,43.16,1
566,2,395.02,4,3,4,11,2085.0,197.51,1
1721,1,34.6,2,1,1,4,727.5,34.6,1
1607,2,190.81,2,3,3,8,28.0,95.405,1
652,1,74.53,3,1,1,5,727.5,74.53,1
693,1,275.73,3,1,3,7,727.5,275.73,1
1904,1,160.51,1,1,2,4,727.5,160.51,1
1670,1,96.61,2,1,2,5,727.5,96.61,1
1949,1,156.81,1,1,2,4,727.5,156.81,1
30,3,386.28999999999996,4,4,4,12,589.0,128.76333333333332,0
1671,1,142.18,2,1,2,5,727.5,142.18,1
265,2,314.28999999999996,4,3,4,11,922.0,157.14499999999998,1
1294,1,215.98,2,1,3,6,727.5,215.98,1
720,3,491.15,3,4,4,11,732.0,163.71666666666667,1
963,1,110.01,3,1,2,6,727.5,110.01,1
182,2,122.38,4,3,2,9,306.0,61.19,1
993,1,215.25,3,1,3,7,727.5,215.25,1
1990,2,193.68,1,3,3,7,522.0,96.84,1
921,1,151.67,3,1,2,6,727.5,151.67,1
1639,1,142.82,2,1,2,5,727.5,142.82,1
1103,1,87.57,3,1,2,6,727.5,87.57,1
1752,1,98.9,2,1,2,5,727.5,98.9,1
761,2,216.15,3,3,3,9,942.0,108.075,1
104,3,668.27,4,4,4,12,1070.0,222.75666666666666,0
913,3,1008.43,3,4,4,11,345.0,336.1433333333333,1
340,1,172.96,4,1,3,8,727.5,172.96,1
1636,1,230.11,2,1,3,6,727.5,230.11,1
2016,1,57.74,1,1,1,3,727.5,57.74,1
1245,1,53.28,2,1,1,4,727.5,53.28,1
1462,2,98.22999999999999,2,3,2,7,1284.0,49.114999999999995,1
621,2,132.15,3,3,2,8,146.0,66.075,1
2701,1,266.72,1,1,3,5,727.5,266.72,1
718,2,112.50999999999999,3,3,2,8,836.0,56.254999999999995,1
1379,1,171.77,2,1,3,6,727.5,171.77,1
1153,1,209.94,3,1,3,7,727.5,209.94,1
1560,1,40.06,2,1,1,4,727.5,40.06,1
401,2,423.06,4,3,4,11,746.0,211.53,1
1146,2,243.89000000000001,3,3,3,9,701.0,121.94500000000001,1
661,1,95.15,3,1,2,6,727.5,95.15,1
828,1,72.71,3,1,1,5,727.5,72.71,1
1276,1,431.51,2,1,4,7,727.5,431.51,1
524,1,151.34,4,1,2,7,727.5,151.34,1
1257,1,355.91,2,1,4,7,727.5,355.91,1
2619,1,53.06,1,1,1,3,727.5,53.06,1
1075,1,128.47,3,1,2,6,727.5,128.47,1
601,2,459.59000000000003,3,3,4,10,441.0,229.79500000000002,1
1673,1,20.32,2,1,1,4,727.5,20.32,1
437,2,534.45,4,3,4,11,540.0,267.225,1
1841,1,60.76,1,1,1,3,727.5,60.76,1
788,1,97.5,3,1,2,6,727.5,97.5,1
112,2,298.9,4,3,3,10,2152.0,149.45,0
1411,1,23.71,2,1,1,4,727.5,23.71,1
491,1,56.48,4,1,1,6,727.5,56.48,1
1247,1,69.18,2,1,1,4,727.5,69.18,1
242,1,49.11,4,1,1,6,727.5,49.11,1
2586,2,132.15,1,3,2,6,114.0,66.075,1
2573,2,115.17,1,3,2,6,160.0,57.585,1
1772,1,91.81,2,1,2,5,727.5,91.81,1
2563,1,116.91,1,1,2,4,727.5,116.91,1
581,1,185.54,3,1,3,7,727.5,185.54,1
946,1,123.76,3,1,2,6,727.5,123.76,1
366,1,69.01,4,1,1,6,727.5,69.01,1
1750,2,447.84999999999997,2,3,4,9,567.0,223.92499999999998,1
1099,2,531.0899999999999,3,3,4,10,768.0,265.54499999999996,1
364,2,564.9,4,3,4,11,575.0,282.45,1
510,1,237.19,4,1,3,8,727.5,237.19,1
2768,1,282.48,1,1,3,5,727.5,282.48,1
2612,1,183.89,1,1,3,5,727.5,183.89,1
1248,2,192.28,2,3,3,8,864.0,96.14,1
115,2,640.45,4,3,4,11,1651.0,320.225,0
1269,1,369.72,2,1,4,7,727.5,369.72,1
2002,1,59.71,1,1,1,3,727.5,59.71,1
1911,1,298.13,1,1,3,5,727.5,298.13,1
217,3,291.71999999999997,4,4,3,11,621.0,97.24,1
844,1,369.59,3,1,4,8,727.5,369.59,1
1361,2,278.94,2,3,3,8,743.0,139.47,1
1010,2,270.08000000000004,3,3,3,9,1386.0,135.04000000000002,1
2547,1,31.84,1,1,1,3,727.5,31.84,1
2261,1,275.58,1,1,3,5,727.5,275.58,1
1624,2,274.35,2,3,3,8,1048.0,137.175,1
94,1,43.88,4,1,1,6,727.5,43.88,0
2695,1,162.09,1,1,2,4,727.5,162.09,1
735,1,182.03,3,1,3,7,727.5,182.03,1
2331,1,61.82,1,1,1,3,727.5,61.82,1
995,1,176.64,3,1,3,7,727.5,176.64,1
919,1,151.76,3,1,2,6,727.5,151.76,1
1177,1,37.48,3,1,1,5,727.5,37.48,1
1753,1,129.64,2,1,2,5,727.5,129.64,1
665,1,41.65,3,1,1,5,727.5,41.65,1
2417,1,288.3,1,1,3,5,727.5,288.3,1
869,2,540.77,3,3,4,10,1118.0,270.385,1
2465,1,124.41,1,1,2,4,727.5,124.41,1
2106,1,33.91,1,1,1,3,727.5,33.91,1
101,3,458.02,4,4,4,12,565.0,152.67333333333332,0
424,2,85.08,4,3,2,9,849.0,42.54,1
2727,1,129.67,1,1,2,4,727.5,129.67,1
686,2,504.83000000000004,3,3,4,10,1516.0,252.41500000000002,1
1085,1,361.02,3,1,4,8,727.5,361.02,1
2308,1,130.17,1,1,2,4,727.5,130.17,1
630,1,98.36,3,1,2,6,727.5,98.36,1
134,2,633.44,4,3,4,11,1590.0,316.72,0
1160,1,201.18,3,1,3,7,727.5,201.18,1
1197,2,615.87,3,3,4,10,1273.0,307.935,1
1035,2,595.3,3,3,4,10,574.0,297.65,1
1371,2,373.83,2,3,4,9,379.0,186.915,1
2352,1,260.37,1,1,3,5,727.5,260.37,1
202,1,382.52,4,1,4,9,727.5,382.52,1
529,3,321.59,4,4,4,12,1003.0,107.19666666666666,1
1893,1,26.94,1,1,1,3,727.5,26.94,1
881,1,108.06,3,1,2,6,727.5,108.06,1
